rebalance_date,stkcd
2010-05-01,000002
2010-05-01,000006
2010-05-01,000022
2010-05-01,000027
2010-05-01,000042
2010-05-01,000066
2010-05-01,000401
2010-05-01,000404
2010-05-01,000531
2010-05-01,000589
2010-05-01,000599
2010-05-01,000608
2010-05-01,000616
2010-05-01,000668
2010-05-01,000671
2010-05-01,000679
2010-05-01,000680
2010-05-01,000683
2010-05-01,000708
2010-05-01,000726
2010-05-01,000748
2010-05-01,000786
2010-05-01,000885
2010-05-01,000900
2010-05-01,000915
2010-05-01,000919
2010-05-01,001872
2010-05-01,002078
2010-05-01,600000
2010-05-01,600012
2010-05-01,600016
2010-05-01,600028
2010-05-01,600030
2010-05-01,600033
2010-05-01,600048
2010-05-01,600068
2010-05-01,600079
2010-05-01,600101
2010-05-01,600138
2010-05-01,600153
2010-05-01,600177
2010-05-01,600210
2010-05-01,600233
2010-05-01,600266
2010-05-01,600269
2010-05-01,600291
2010-05-01,600308
2010-05-01,600325
2010-05-01,600380
2010-05-01,600383
2010-05-01,600449
2010-05-01,600480
2010-05-01,600496
2010-05-01,600510
2010-05-01,600561
2010-05-01,600585
2010-05-01,600657
2010-05-01,600741
2010-05-01,600755
2010-05-01,600805
2010-05-01,600863
2010-05-01,600895
2010-05-01,600969
2010-05-01,601006
2010-05-01,601169
2010-05-01,601328
2010-05-01,601398
2010-05-01,601618
2010-05-01,601668
2010-05-01,601808
2010-05-01,601899
2010-05-01,601939
2010-05-01,601988
2010-05-01,601998
2011-05-01,000001
2011-05-01,000002
2011-05-01,000006
2011-05-01,000022
2011-05-01,000036
2011-05-01,000039
2011-05-01,000042
2011-05-01,000063
2011-05-01,000069
2011-05-01,000157
2011-05-01,000401
2011-05-01,000407
2011-05-01,000422
2011-05-01,000507
2011-05-01,000521
2011-05-01,000558
2011-05-01,000608
2011-05-01,000616
2011-05-01,000623
2011-05-01,000625
2011-05-01,000626
2011-05-01,000635
2011-05-01,000666
2011-05-01,000671
2011-05-01,000679
2011-05-01,000680
2011-05-01,000685
2011-05-01,000708
2011-05-01,000726
2011-05-01,000778
2011-05-01,000783
2011-05-01,000786
2011-05-01,000793
2011-05-01,000800
2011-05-01,000810
2011-05-01,000877
2011-05-01,000881
2011-05-01,000883
2011-05-01,000900
2011-05-01,000917
2011-05-01,000918
2011-05-01,000929
2011-05-01,000939
2011-05-01,000951
2011-05-01,000961
2011-05-01,001872
2011-05-01,002010
2011-05-01,002042
2011-05-01,002048
2011-05-01,002054
2011-05-01,002062
2011-05-01,002078
2011-05-01,002101
2011-05-01,002142
2011-05-01,002191
2011-05-01,002233
2011-05-01,002244
2011-05-01,002343
2011-05-01,002394
2011-05-01,002434
2011-05-01,002440
2011-05-01,002478
2011-05-01,002489
2011-05-01,600000
2011-05-01,600012
2011-05-01,600015
2011-05-01,600016
2011-05-01,600018
2011-05-01,600028
2011-05-01,600029
2011-05-01,600030
2011-05-01,600035
2011-05-01,600036
2011-05-01,600048
2011-05-01,600056
2011-05-01,600060
2011-05-01,600067
2011-05-01,600068
2011-05-01,600070
2011-05-01,600089
2011-05-01,600104
2011-05-01,600150
2011-05-01,600153
