调入日期,stkcd,shortname,indnme1,ROEttm,PB
2010-05-01,000528,柳工,专用设备制造业,0.160541,0.733420
2010-05-01,002131,利欧股份,专用设备制造业,0.186088,1.408951
2010-05-01,002152,广电运通,专用设备制造业,0.272440,1.503152
2010-05-01,600388,龙净环保,专用设备制造业,0.182571,0.801002
2010-05-01,600582,天地科技,专用设备制造业,0.313149,0.931143
2010-05-01,002073,青岛软控,互联网和相关服务,0.179571,1.341115
2010-05-01,000685,中山公用,公共设施管理业,0.197036,0.756566
2010-05-01,002003,伟星股份,其他制造业,0.180458,1.081051
2010-05-01,002130,沃尔核材,其他制造业,0.093891,1.864147
2010-05-01,600210,紫江企业,其他制造业,0.164542,2.467198
2010-05-01,002183,怡亚通,其他服务业,0.074098,1.164623
2010-05-01,000876,新希望,农副食品加工业,0.113086,1.745299
2010-05-01,002100,天康生物,农副食品加工业,0.202370,1.250913
2010-05-01,002220,天宝股份,农副食品加工业,0.108762,1.498731
2010-05-01,000731,四川美丰,化学原料和化学制品制造业,0.055634,2.202626
2010-05-01,000826,合加资源,化学原料和化学制品制造业,0.134372,1.794732
2010-05-01,002010,传化股份,化学原料和化学制品制造业,0.238726,0.853915
2010-05-01,002037,久联发展,化学原料和化学制品制造业,0.197669,0.907498
2010-05-01,002109,兴化股份,化学原料和化学制品制造业,0.093531,0.932846
2010-05-01,002165,红宝丽,化学原料和化学制品制造业,0.229880,1.897815
2010-05-01,002167,东方锆业,化学原料和化学制品制造业,0.069093,1.686714
2010-05-01,002215,诺普信,化学原料和化学制品制造业,0.217820,1.413378
2010-05-01,002226,江南化工,化学原料和化学制品制造业,0.244633,1.836267
2010-05-01,002250,联化科技,化学原料和化学制品制造业,0.165600,2.074467
2010-05-01,002258,利尔化学,化学原料和化学制品制造业,0.150012,1.243388
2010-05-01,600227,赤天化,化学原料和化学制品制造业,0.069722,1.532430
2010-05-01,600309,烟台万华,化学原料和化学制品制造业,0.262250,1.376829
2010-05-01,000936,华西村,化学纤维制造业,0.076475,2.303652
2010-05-01,002206,海利得,化学纤维制造业,0.151764,1.021626
2010-05-01,600527,江南高纤,化学纤维制造业,0.095107,0.839171
2010-05-01,000513,丽珠集团,医药制造业,0.192929,1.406131
2010-05-01,000597,东北制药,医药制造业,0.339531,3.093037
2010-05-01,000999,三九医药,医药制造业,0.192522,1.604552
2010-05-01,002004,华邦制药,医药制造业,0.162538,1.925689
2010-05-01,600161,天坛生物,医药制造业,0.197792,3.139785
2010-05-01,600196,复星医药,医药制造业,0.435317,0.976673
2010-05-01,600568,中珠控股,医药制造业,0.282221,0.737730
2010-05-01,600993,马应龙,医药制造业,0.175081,1.495816
2010-05-01,002117,东港股份,印刷和记录媒介复制业,0.135601,0.881265
2010-05-01,002033,丽江旅游,商务服务业,0.123165,1.251118
2010-05-01,600138,中青旅,商务服务业,0.151738,2.287951
2010-05-01,000797,中国武夷,土木工程建筑业,0.107261,1.896533
2010-05-01,600820,隧道股份,土木工程建筑业,0.092855,0.486463
2010-05-01,601186,中国铁建,土木工程建筑业,0.103879,0.444297
2010-05-01,601390,中国中铁,土木工程建筑业,0.077852,0.403125
2010-05-01,000088,盐田港,多式联运和运输代理业,0.127101,2.033224
2010-05-01,000900,现代投资,多式联运和运输代理业,0.182532,0.539908
2010-05-01,600012,皖通高速,多式联运和运输代理业,0.141099,1.837120
2010-05-01,600035,楚天高速,多式联运和运输代理业,0.118365,0.570125
2010-05-01,600496,精工钢构,建筑装饰、装修和其他建筑业,0.208758,2.862977
2010-05-01,600970,中材国际,建筑装饰、装修和其他建筑业,0.378949,1.590317
2010-05-01,000631,顺发恒业,房地产业,0.523213,1.458549
2010-05-01,000965,天保基建,房地产业,0.129370,0.663901
2010-05-01,002146,荣盛发展,房地产业,0.160843,0.838796
2010-05-01,600048,保利地产,房地产业,0.163103,0.519790
2010-05-01,600325,华发股份,房地产业,0.139776,1.779673
2010-05-01,600748,上实发展,房地产业,0.132685,0.964503
2010-05-01,000002,万科A,房地产业,0.143293,1.809586
2010-05-01,000961,中南建设,房屋建筑业,0.168498,0.702339
2010-05-01,002062,宏润建设,房屋建筑业,0.218560,0.803949
2010-05-01,002091,江苏国泰,批发业,0.209841,2.221574
2010-05-01,600415,小商品城,批发业,0.137562,1.093262
2010-05-01,002082,栋梁新材,有色金属冶炼和压延加工业,0.124145,0.920857
2010-05-01,002237,恒邦股份,有色金属冶炼和压延加工业,0.118747,1.617411
2010-05-01,600219,南山铝业,有色金属冶炼和压延加工业,0.051242,0.329560
2010-05-01,000589,黔轮胎A,橡胶和塑料制品业,0.137807,2.338928
2010-05-01,002108,沧州明珠,橡胶和塑料制品业,0.228876,1.161498
2010-05-01,600480,凌云股份,橡胶和塑料制品业,0.200604,0.732126
2010-05-01,000338,潍柴动力,汽车制造业,0.205683,0.754037
2010-05-01,000550,江铃汽车,汽车制造业,0.218310,0.900690
2010-05-01,000951,中国重汽,汽车制造业,0.146807,0.742592
2010-05-01,002048,宁波华翔,汽车制造业,0.164633,0.690584
2010-05-01,002213,特尔佳,汽车制造业,0.138281,1.910178
2010-05-01,600741,华域汽车,汽车制造业,0.162360,1.501372
2010-05-01,002069,獐子岛,渔业,0.119759,2.262063
2010-05-01,600971,恒源煤电,煤炭开采和洗选业,0.506953,0.957505
2010-05-01,601001,大同煤业,煤炭开采和洗选业,0.283187,0.689762
2010-05-01,600050,中国联通,电信、广播电视和卫星传输服务,0.232764,0.597187
2010-05-01,000027,深圳能源,电力、热力生产和供应业,0.144948,0.406488
2010-05-01,000531,穗恒运A,电力、热力生产和供应业,0.199798,1.547070
2010-05-01,000539,粤电力A,电力、热力生产和供应业,0.096229,1.544752
2010-05-01,600098,广州控股,电力、热力生产和供应业,0.093689,1.364680
2010-05-01,600642,申能股份,电力、热力生产和供应业,0.119809,1.345197
2010-05-01,600982,宁波热电,电力、热力生产和供应业,0.134387,0.857470
2010-05-01,000527,美的电器,电气机械和器材制造业,0.176915,0.721569
2010-05-01,002028,思源电气,电气机械和器材制造业,0.206517,1.083049
2010-05-01,002123,荣信股份,电气机械和器材制造业,0.183851,2.015046
2010-05-01,002242,九阳股份,电气机械和器材制造业,0.299208,1.153219
2010-05-01,002249,大洋电机,电气机械和器材制造业,0.155947,1.908871
2010-05-01,600550,天威保变,电气机械和器材制造业,0.172391,1.568175
2010-05-01,600835,上海机电,电气机械和器材制造业,0.158045,1.627306
2010-05-01,600875,东方电气,电气机械和器材制造业,0.200405,1.294143
2010-05-01,000059,辽通化工,石油、煤炭及其他燃料加工业,0.040286,2.100168
