date,portfolio_return,valid_stocks,total_stocks,benchmark_return,cumulative_return,cumulative_benchmark,excess_return
2010-05-01,-0.073326,166,166,-0.095883,0.926674,0.904117,0.022557
2010-06-01,-0.067767,161,161,-0.075792,0.863876,0.835592,0.008025
2010-07-01,0.163174,160,160,0.119302,1.004839,0.935280,0.043872
2010-08-01,0.058772,128,128,0.011970,1.063895,0.946475,0.046802
2010-09-01,0.025819,134,134,0.011153,1.091363,0.957031,0.014666
2010-10-01,0.129190,139,139,0.151388,1.232356,1.101914,-0.022198
2010-11-01,-0.025525,121,121,-0.071891,1.200900,1.022697,0.046366
2010-12-01,0.000417,120,120,-0.002783,1.201401,1.019850,0.003200
2011-01-01,-0.018569,112,112,-0.016543,1.179092,1.002979,-0.002026
2011-02-01,0.093705,118,118,0.052998,1.289580,1.056135,0.040707
2011-03-01,-0.000447,119,119,-0.005022,1.289003,1.050831,0.004575
2011-04-01,-0.033177,120,120,-0.009484,1.246238,1.040865,-0.023693
2011-05-01,-0.064761,186,186,-0.059874,1.165530,0.978544,-0.004887
2011-06-01,0.035033,174,174,0.014169,1.206363,0.992409,0.020864
2011-07-01,0.015347,179,179,-0.023656,1.224877,0.968933,0.039003
2011-08-01,-0.035614,154,154,-0.042159,1.181254,0.928084,0.006545
2011-09-01,-0.119561,149,149,-0.093239,1.040023,0.841550,-0.026322
2011-10-01,0.043498,156,156,0.044147,1.085261,0.878702,-0.000649
2011-11-01,-0.071035,144,144,-0.064479,1.008170,0.822044,-0.006556
2011-12-01,-0.112104,147,147,-0.069712,0.895150,0.764738,-0.042392
2012-01-01,0.028432,136,136,0.050526,0.920601,0.803377,-0.022094
2012-02-01,0.122624,131,131,0.068938,1.033489,0.858760,0.053686
2012-03-01,-0.076787,131,131,-0.068045,0.954130,0.800326,-0.008742
2012-04-01,0.079674,138,138,0.069762,1.030149,0.856158,0.009912
2012-05-01,0.021055,205,205,0.002241,1.051839,0.858077,0.018814
2012-06-01,-0.050635,209,209,-0.064752,0.998580,0.802515,0.014117
2012-07-01,-0.094789,205,205,-0.052279,0.903925,0.760560,-0.042510
2012-08-01,0.004691,161,161,-0.054890,0.908165,0.718813,0.059581
2012-09-01,0.015423,166,166,0.040020,0.922171,0.747580,-0.024597
2012-10-01,-0.001446,171,171,-0.016696,0.920838,0.735098,0.015250
2012-11-01,-0.090329,138,138,-0.051072,0.837660,0.697555,-0.039257
2012-12-01,0.193605,137,137,0.179136,0.999835,0.822512,0.014469
2013-01-01,0.053399,129,129,0.064975,1.053225,0.875955,-0.011576
2013-02-01,0.020075,124,124,-0.005045,1.074369,0.871536,0.025120
2013-03-01,-0.053053,133,133,-0.066675,1.017371,0.813426,0.013622
2013-04-01,-0.038635,137,137,-0.019148,0.978065,0.797851,-0.019487
2013-05-01,0.151367,241,241,0.065018,1.126111,0.849725,0.086349
2013-06-01,-0.151243,236,236,-0.155687,0.955795,0.717434,0.004444
2013-07-01,0.057850,234,234,-0.003462,1.011088,0.714950,0.061312
2013-08-01,0.076311,193,193,0.055124,1.088245,0.754361,0.021187
2013-09-01,0.042329,196,196,0.041111,1.134309,0.785374,0.001218
2013-10-01,-0.000914,189,190,-0.014661,1.133272,0.773860,0.013747
2013-11-01,0.067296,174,174,0.027478,1.209537,0.795124,0.039818
2013-12-01,-0.018091,180,180,-0.044658,1.187655,0.759615,0.026567
2014-01-01,-0.021857,177,177,-0.054753,1.161696,0.718024,0.032896
2014-02-01,0.026562,172,172,-0.010660,1.192554,0.710370,0.037222
2014-03-01,0.001937,180,180,-0.014991,1.194864,0.699721,0.016928
2014-04-01,-0.012299,177,177,0.005756,1.180168,0.703748,-0.018055
2014-05-01,0.016773,260,260,-0.001017,1.199962,0.703032,0.017790
2014-06-01,0.034326,255,255,0.004013,1.241152,0.705854,0.030313
2014-07-01,0.083188,257,257,0.085507,1.344402,0.766209,-0.002319
2014-08-01,0.037585,226,226,-0.005091,1.394932,0.762308,0.042676
2014-09-01,0.114154,231,231,0.048198,1.554169,0.799050,0.065956
2014-10-01,0.028463,236,236,0.023393,1.598404,0.817742,0.005070
2014-11-01,0.069079,217,217,0.119799,1.708821,0.915707,-0.050720
2014-12-01,0.099078,205,205,0.258075,1.878128,1.152028,-0.158997
2015-01-01,0.060561,184,184,-0.028105,1.991869,1.119650,0.088666
2015-02-01,0.053658,196,196,0.040314,2.098748,1.164788,0.013344
2015-03-01,0.193175,206,206,0.133888,2.504173,1.320739,0.059287
2015-04-01,0.163505,208,208,0.172463,2.913617,1.548518,-0.008958
2015-05-01,0.199245,222,222,0.019146,3.494141,1.578166,0.180099
2015-06-01,-0.024884,220,220,-0.075985,3.407192,1.458249,0.051101
2015-07-01,-0.136605,226,226,-0.146725,2.941753,1.244287,0.010120
2015-08-01,-0.120543,202,202,-0.117946,2.587146,1.097528,-0.002597
2015-09-01,-0.039860,209,209,-0.048592,2.484022,1.044197,0.008732
2015-10-01,0.183411,201,201,0.103383,2.939620,1.152150,0.080028
2015-11-01,0.074253,220,220,0.009149,3.157895,1.162691,0.065104
2015-12-01,0.076014,203,203,0.046151,3.397937,1.216350,0.029863
2016-01-01,-0.257158,214,215,-0.210376,2.524130,0.960459,-0.046782
2016-02-01,-0.013143,208,208,-0.023293,2.490956,0.938087,0.010150
2016-03-01,0.166624,216,216,0.118375,2.906010,1.049133,0.048249
2016-04-01,-0.014134,216,216,-0.019062,2.864935,1.029135,0.004928
2016-05-01,-0.009078,232,232,0.004060,2.838926,1.033313,-0.013138
2016-06-01,0.037832,219,219,-0.004934,2.946328,1.028215,0.042766
2016-07-01,0.051987,217,217,0.015856,3.099499,1.044518,0.036131
2016-08-01,0.049960,213,213,0.038660,3.254350,1.084899,0.011300
2016-09-01,-0.006788,213,213,-0.022390,3.232259,1.060608,0.015602
2016-10-01,0.025070,208,208,0.025511,3.313291,1.087665,-0.000441
2016-11-01,0.038881,226,226,0.060463,3.442114,1.153429,-0.021582
2016-12-01,-0.041818,223,223,-0.064421,3.298173,1.079124,0.022603
2017-01-01,0.008226,227,227,0.023528,3.325305,1.104513,-0.015302
2017-02-01,0.038780,229,229,0.019141,3.454259,1.125655,0.019639
2017-03-01,-0.005569,228,228,0.000937,3.435022,1.126710,-0.006506
2017-04-01,-0.016512,212,212,-0.004714,3.378304,1.121398,-0.011798
2017-05-01,-0.045350,205,205,0.015446,3.225098,1.138719,-0.060796
2017-06-01,0.058871,185,185,0.049791,3.414962,1.195417,0.009080
2017-07-01,0.043440,178,178,0.019383,3.563309,1.218588,0.024057
2017-08-01,0.016186,172,172,0.022532,3.620985,1.246045,-0.006346
2017-09-01,0.013068,180,180,0.003770,3.668305,1.250743,0.009298
2017-10-01,-0.011311,172,172,0.044368,3.626811,1.306236,-0.055679
2017-11-01,-0.023415,177,177,-0.000154,3.541890,1.306035,-0.023261
2017-12-01,-0.004012,178,178,0.006180,3.527678,1.314106,-0.010192
2018-01-01,0.015492,176,176,0.060792,3.582328,1.393993,-0.045300
2018-02-01,-0.041205,173,173,-0.058995,3.434720,1.311755,0.017790
2018-03-01,0.001759,165,165,-0.031102,3.440761,1.270956,0.032861
2018-04-01,-0.048831,179,179,-0.036327,3.272746,1.224786,-0.012504
2018-05-01,-0.007803,192,192,0.012111,3.247210,1.239620,-0.019914
2018-06-01,-0.088154,158,158,-0.076634,2.960957,1.144623,-0.011520
2018-07-01,0.010428,160,160,0.001900,2.991835,1.146797,0.008528
2018-08-01,-0.077600,160,160,-0.052067,2.759670,1.087087,-0.025533
2018-09-01,0.011177,159,159,0.031297,2.790514,1.121110,-0.020120
2018-10-01,-0.091195,164,164,-0.082888,2.536034,1.028183,-0.008307
2018-11-01,0.045210,181,181,0.005982,2.650687,1.034334,0.039228
2018-12-01,-0.048016,185,185,-0.051072,2.523411,0.981508,0.003056
2019-01-01,0.011581,187,187,0.063434,2.552636,1.043769,-0.051853
2019-02-01,0.215279,206,206,0.146093,3.102164,1.196257,0.069186
2019-03-01,0.091071,215,215,0.055315,3.384682,1.262428,0.035756
2019-04-01,-0.026692,224,224,0.010554,3.294339,1.275751,-0.037246
2019-05-01,-0.078411,223,223,-0.072427,3.036025,1.183352,-0.005984
2019-06-01,0.015158,229,229,0.053942,3.082044,1.247185,-0.038784
2019-07-01,-0.006935,222,222,0.002554,3.060670,1.250370,-0.009489
2019-08-01,-0.030143,217,217,-0.009327,2.968413,1.238708,-0.020816
2019-09-01,0.010694,222,222,0.003933,3.000158,1.243580,0.006761
2019-10-01,0.002920,211,211,0.018934,3.008920,1.267126,-0.016014
2019-11-01,-0.016684,213,213,-0.014943,2.958720,1.248191,-0.001741
2019-12-01,0.090677,195,195,0.069975,3.227009,1.335533,0.020702
2020-01-01,-0.006909,191,191,-0.022624,3.204714,1.305318,0.015715
2020-02-01,-0.015197,217,217,-0.015947,3.156013,1.284502,0.000750
2020-03-01,-0.020535,221,221,-0.064439,3.091205,1.201730,0.043904
2020-04-01,0.013736,225,225,0.061425,3.133664,1.275546,-0.047689
2020-05-01,0.003532,224,224,-0.011643,3.144732,1.260695,0.015175
2020-06-01,0.054456,213,213,0.076788,3.315982,1.357502,-0.022332
2020-07-01,0.174807,207,207,0.127542,3.895639,1.530640,0.047265
2020-08-01,0.031965,206,206,0.025808,4.020164,1.570143,0.006157
2020-09-01,-0.073654,219,219,-0.047510,3.724064,1.495545,-0.026144
2020-10-01,0.000881,195,195,0.023529,3.727343,1.530734,-0.022648
2020-11-01,0.050436,209,209,0.056422,3.915334,1.617101,-0.005986
2020-12-01,-0.051386,212,212,0.050610,3.714141,1.698943,-0.101996
2021-01-01,-0.044172,210,210,0.026994,3.550080,1.744804,-0.071166
2021-02-01,0.057464,219,219,-0.002841,3.754082,1.739847,0.060305
2021-03-01,0.040541,220,220,-0.054040,3.906278,1.645825,0.094581
2021-04-01,-0.021017,218,218,0.014882,3.824180,1.670319,-0.035899
2021-05-01,0.026568,238,238,0.040613,3.925780,1.738155,-0.014045
2021-06-01,-0.002944,231,231,-0.020168,3.914223,1.703100,0.017224
2021-07-01,-0.027145,246,246,-0.079033,3.807971,1.568499,0.051888
2021-08-01,0.081840,252,252,-0.001156,4.119613,1.566686,0.082996
2021-09-01,0.024940,250,250,0.012646,4.222356,1.586498,0.012294
2021-10-01,-0.047047,246,246,0.008710,4.023707,1.600317,-0.055757
2021-11-01,0.068359,261,261,-0.015634,4.298761,1.575297,0.083993
2021-12-01,0.062963,259,259,0.022423,4.569424,1.610620,0.040540
2022-01-01,-0.058926,271,271,-0.076229,4.300164,1.487844,0.017303
2022-02-01,0.046522,276,276,0.003916,4.500215,1.493671,0.042606
2022-03-01,-0.032850,277,277,-0.078367,4.352383,1.376616,0.045517
2022-04-01,-0.113038,289,289,-0.048869,3.860399,1.309342,-0.064169
2022-05-01,0.071459,282,282,0.018743,4.136258,1.333883,0.052716
2022-06-01,0.053986,282,282,0.096173,4.359556,1.462167,-0.042187
2022-07-01,-0.003320,283,283,-0.070214,4.345081,1.359502,0.066894
2022-08-01,-0.012062,308,308,-0.021885,4.292669,1.329750,0.009823
2022-09-01,-0.084198,308,308,-0.067165,3.931237,1.240437,-0.017033
2022-10-01,0.015092,293,293,-0.077843,3.990567,1.143878,0.092935
2022-11-01,0.101513,306,306,0.098137,4.395663,1.256134,0.003376
2022-12-01,-0.043643,303,303,0.004827,4.203823,1.262198,-0.048470
2023-01-01,0.081986,307,307,0.073670,4.548477,1.355184,0.008316
2023-02-01,0.048479,324,324,-0.021025,4.768984,1.326691,0.069504
2023-03-01,0.001639,329,329,-0.004554,4.776799,1.320649,0.006193
2023-04-01,-0.022255,327,327,-0.005391,4.670490,1.313530,-0.016864
2023-05-01,-0.017164,341,341,-0.057220,4.590327,1.238369,0.040056
2023-06-01,0.023070,351,351,0.011559,4.696226,1.252684,0.011511
2023-07-01,0.033286,348,348,0.044809,4.852543,1.308815,-0.011523
2023-08-01,-0.049173,354,354,-0.062113,4.613930,1.227521,0.012940
2023-09-01,0.003973,360,360,-0.020118,4.632260,1.202826,0.024091
2023-10-01,-0.029518,360,360,-0.031714,4.495525,1.164679,0.002196
2023-11-01,0.019046,397,397,-0.021358,4.581145,1.139804,0.040404
2023-12-01,-0.014215,394,394,-0.018618,4.516026,1.118583,0.004403
2024-01-01,-0.127737,390,390,-0.062883,3.939160,1.048243,-0.064854
2024-02-01,0.089380,380,380,0.093530,4.291241,1.146285,-0.004150
2024-03-01,0.039353,339,339,0.006087,4.460112,1.153263,0.033266
2024-04-01,0.013724,356,356,0.018915,4.521322,1.175077,-0.005191
2024-05-01,0.002349,351,351,-0.006789,4.531941,1.167099,0.009138
2024-06-01,-0.065639,304,304,-0.033036,4.234468,1.128543,-0.032603
2024-07-01,-0.007430,292,292,-0.005654,4.203008,1.122162,-0.001776
2024-08-01,-0.039411,299,299,-0.035052,4.037365,1.082828,-0.004359
2024-09-01,0.218898,311,311,0.209676,4.921135,1.309871,0.009222
2024-10-01,0.014458,319,319,-0.031563,4.992285,1.268528,0.046021
2024-11-01,0.055098,377,377,0.006565,5.267350,1.276856,0.048533
2024-12-01,-0.012717,385,385,0.004680,5.200364,1.282831,-0.017397
2025-01-01,-0.004735,350,350,-0.029945,5.175739,1.244417,0.025210
2025-02-01,0.046419,358,358,0.019116,5.415991,1.268205,0.027303
2025-03-01,0.021732,393,393,-0.000705,5.533694,1.267311,0.022437
2025-04-01,-0.040023,375,375,-0.030030,5.312219,1.229254,-0.009993
