date,portfolio_return,benchmark_return,cumulative_return
2010-05-01,-0.096732,-0.095883,0.903268
2010-06-01,-0.081046,-0.075792,0.830062
2010-07-01,0.170705,0.119302,0.971759
2010-08-01,0.068873,0.011970,1.038686
2010-09-01,0.017762,0.011153,1.057135
2010-10-01,0.120963,0.151388,1.185009
2010-11-01,-0.015713,-0.071891,1.166389
2010-12-01,-0.021271,-0.002783,1.141579
2011-01-01,-0.010433,-0.016543,1.129669
2011-02-01,0.093633,0.052998,1.235444
2011-03-01,0.010939,-0.005022,1.248958
2011-04-01,-0.014487,-0.009484,1.230865
2011-05-01,-0.069341,-0.059874,1.145515
2011-06-01,0.033145,0.014169,1.183483
2011-07-01,0.010333,-0.023656,1.195711
2011-08-01,-0.037947,-0.042159,1.150338
2011-09-01,-0.103701,-0.093239,1.031046
2011-10-01,0.046124,0.044147,1.078603
2011-11-01,-0.049140,-0.064479,1.025600
2011-12-01,-0.118520,-0.069712,0.904046
2012-01-01,0.025030,0.050526,0.926674
2012-02-01,0.135066,0.068938,1.051836
2012-03-01,-0.080411,-0.068045,0.967257
2012-04-01,0.092174,0.069762,1.056413
2012-05-01,0.023247,0.002241,1.080971
2012-06-01,-0.054042,-0.064752,1.022553
2012-07-01,-0.091277,-0.052279,0.929218
2012-08-01,0.010727,-0.054890,0.939186
2012-09-01,0.016010,0.040020,0.954223
2012-10-01,0.004708,-0.016696,0.958715
2012-11-01,-0.080249,-0.051072,0.881779
2012-12-01,0.165115,0.179136,1.027375
2013-01-01,0.064086,0.064975,1.093215
2013-02-01,0.024168,-0.005045,1.119636
2013-03-01,-0.055326,-0.066675,1.057691
2013-04-01,-0.030689,-0.019148,1.025231
2013-05-01,0.137063,0.065018,1.165752
2013-06-01,-0.158741,-0.155687,0.980699
2013-07-01,0.078013,-0.003462,1.057207
2013-08-01,0.100061,0.055124,1.162993
2013-09-01,0.053429,0.041111,1.225130
2013-10-01,-0.002962,-0.014661,1.221501
2013-11-01,0.067262,0.027478,1.303662
2013-12-01,-0.009071,-0.044658,1.291837
2014-01-01,-0.011422,-0.054753,1.277081
2014-02-01,0.036998,-0.010660,1.324330
2014-03-01,0.003838,-0.014991,1.329413
2014-04-01,-0.009659,0.005756,1.316572
2014-05-01,0.027662,-0.001017,1.352991
2014-06-01,0.038904,0.004013,1.405628
2014-07-01,0.076298,0.085507,1.512875
2014-08-01,0.042791,-0.005091,1.577612
2014-09-01,0.131282,0.048198,1.784725
2014-10-01,0.035880,0.023393,1.848761
2014-11-01,0.085332,0.119799,2.006521
2014-12-01,0.109158,0.258075,2.225548
2015-01-01,0.054098,-0.028105,2.345945
2015-02-01,0.060987,0.040314,2.489017
2015-03-01,0.209092,0.133888,3.009449
2015-04-01,0.178055,0.172463,3.545298
2015-05-01,0.196022,0.019146,4.240253
2015-06-01,-0.004481,-0.075985,4.221254
2015-07-01,-0.154177,-0.146725,3.570435
2015-08-01,-0.108929,-0.117946,3.181510
2015-09-01,-0.034711,-0.048592,3.071078
2015-10-01,0.179453,0.103383,3.622191
2015-11-01,0.083303,0.009149,3.923930
2015-12-01,0.079799,0.046151,4.237058
2016-01-01,-0.240313,-0.210376,3.218836
2016-02-01,-0.011541,-0.023293,3.181687
2016-03-01,0.166277,0.118375,3.710729
2016-04-01,-0.014210,-0.019062,3.658000
2016-05-01,-0.006057,0.004060,3.635845
2016-06-01,0.043904,-0.004934,3.795474
2016-07-01,0.035918,0.015856,3.931801
2016-08-01,0.045187,0.038660,4.109468
2016-09-01,-0.006350,-0.022390,4.083373
2016-10-01,0.037084,0.025511,4.234799
2016-11-01,0.050023,0.060463,4.446637
2016-12-01,-0.028837,-0.064421,4.318411
2017-01-01,0.004701,0.023528,4.338711
2017-02-01,0.047434,0.019141,4.544511
2017-03-01,-0.010672,0.000937,4.496014
2017-04-01,-0.025960,-0.004714,4.379296
2017-05-01,-0.051662,0.015446,4.153051
2017-06-01,0.050811,0.049791,4.364071
2017-07-01,0.040351,0.019383,4.540166
2017-08-01,0.019572,0.022532,4.629026
2017-09-01,0.008767,0.003770,4.669610
2017-10-01,-0.017991,0.044368,4.585598
2017-11-01,-0.036057,-0.000154,4.420254
2017-12-01,-0.012759,0.006180,4.363858
2018-01-01,0.004118,0.060792,4.381828
2018-02-01,-0.051159,-0.058995,4.157659
2018-03-01,0.023345,-0.031102,4.254722
2018-04-01,-0.047624,-0.036327,4.052096
2018-05-01,-0.010928,0.012111,4.007814
2018-06-01,-0.099125,-0.076634,3.610541
2018-07-01,0.015551,0.001900,3.666689
2018-08-01,-0.067287,-0.052067,3.419970
2018-09-01,0.018403,0.031297,3.482908
2018-10-01,-0.097107,-0.082888,3.144695
2018-11-01,0.069220,0.005982,3.362370
2018-12-01,-0.053483,-0.051072,3.182540
2019-01-01,-0.003445,0.063434,3.171578
2019-02-01,0.235224,0.146093,3.917607
2019-03-01,0.105376,0.055315,4.330429
2019-04-01,-0.023629,0.010554,4.228104
2019-05-01,-0.065944,-0.072427,3.949286
2019-06-01,0.009617,0.053942,3.987266
2019-07-01,-0.013448,0.002554,3.933645
2019-08-01,-0.029640,-0.009327,3.817049
2019-09-01,0.007485,0.003933,3.845622
2019-10-01,-0.007480,0.018934,3.816856
2019-11-01,-0.019065,-0.014943,3.744088
2019-12-01,0.073118,0.069975,4.017846
2020-01-01,-0.010869,-0.022624,3.974176
2020-02-01,0.000387,-0.015947,3.975715
2020-03-01,-0.014510,-0.064439,3.918028
2020-04-01,0.006987,0.061425,3.945403
2020-05-01,0.009539,-0.011643,3.983037
2020-06-01,0.049434,0.076788,4.179935
2020-07-01,0.149974,0.127542,4.806815
2020-08-01,0.045835,0.025808,5.027135
2020-09-01,-0.068706,-0.047510,4.681739
2020-10-01,-0.002454,0.023529,4.670252
2020-11-01,0.050614,0.056422,4.906633
2020-12-01,-0.036122,0.050610,4.729395
2021-01-01,-0.055084,0.026994,4.468880
2021-02-01,0.054857,-0.002841,4.714029
2021-03-01,0.035595,-0.054040,4.881823
2021-04-01,-0.005009,0.014882,4.857372
2021-05-01,0.037825,0.040613,5.041102
2021-06-01,0.024571,-0.020168,5.164968
2021-07-01,-0.014787,-0.079033,5.088594
2021-08-01,0.091264,-0.001156,5.553001
2021-09-01,0.011915,0.012646,5.619166
2021-10-01,-0.045974,0.008710,5.360828
2021-11-01,0.075095,-0.015634,5.763400
2021-12-01,0.068995,0.022423,6.161047
2022-01-01,-0.064588,-0.076229,5.763114
2022-02-01,0.042166,0.003916,6.006122
2022-03-01,-0.016816,-0.078367,5.905124
2022-04-01,-0.110829,-0.048869,5.250666
2022-05-01,0.083129,0.018743,5.687147
2022-06-01,0.056485,0.096173,6.008386
2022-07-01,0.013342,-0.070214,6.088548
2022-08-01,-0.015094,-0.021885,5.996646
2022-09-01,-0.078750,-0.067165,5.524412
2022-10-01,0.022987,-0.077843,5.651401
2022-11-01,0.098309,0.098137,6.206986
2022-12-01,-0.040281,0.004827,5.956960
2023-01-01,0.073259,0.073670,6.393362
2023-02-01,0.052758,-0.021025,6.730663
2023-03-01,0.005553,-0.004554,6.768041
2023-04-01,-0.007479,-0.005391,6.717423
2023-05-01,-0.009627,-0.057220,6.652757
2023-06-01,0.020349,0.011559,6.788132
2023-07-01,0.040977,0.044809,7.066292
2023-08-01,-0.051356,-0.062113,6.703393
2023-09-01,0.008472,-0.020118,6.760185
2023-10-01,-0.018932,-0.031714,6.632200
2023-11-01,0.020673,-0.021358,6.769305
2023-12-01,-0.023922,-0.018618,6.607373
2024-01-01,-0.119005,-0.062883,5.821066
2024-02-01,0.066672,0.093530,6.209169
2024-03-01,0.031554,0.006087,6.405092
2024-04-01,0.004400,0.018915,6.433272
2024-05-01,-0.014929,-0.006789,6.337231
2024-06-01,-0.086641,-0.033036,5.788169
2024-07-01,0.015150,-0.005654,5.875859
2024-08-01,-0.034110,-0.035052,5.675430
2024-09-01,0.235175,0.209676,7.010151
2024-10-01,0.034015,-0.031563,7.248602
2024-11-01,0.065103,0.006565,7.720510
2024-12-01,-0.026909,0.004680,7.512756
2025-01-01,-0.022501,-0.029945,7.343710
2025-02-01,0.063062,0.019116,7.806816
2025-03-01,0.008833,-0.000705,7.875771
2025-04-01,-0.027855,-0.030030,7.656389
