date,benchmark_return,portfolio_return_g1,cumulative_return_g1,portfolio_return_g2,cumulative_return_g2,portfolio_return_g3,cumulative_return_g3,portfolio_return_g4,cumulative_return_g4,portfolio_return_g5,cumulative_return_g5,portfolio_return_g6,cumulative_return_g6,portfolio_return_g7,cumulative_return_g7,portfolio_return_g8,cumulative_return_g8,portfolio_return_g9,cumulative_return_g9,portfolio_return_g10,cumulative_return_g10
2010-05-01,-0.095883,-0.096732,0.903268,-0.077445,0.922555,-0.081077,0.918923,-0.091026,0.908974,-0.097250,0.902750,-0.084591,0.915409,-0.087291,0.912709,-0.078707,0.921293,-0.075120,0.924880,-0.051879,0.948121
2010-06-01,-0.075792,-0.081046,0.830062,-0.086743,0.842529,-0.084344,0.841417,-0.089229,0.827868,-0.099338,0.813072,-0.102148,0.821902,-0.106227,0.815754,-0.101562,0.827725,-0.094756,0.837242,-0.115849,0.838283
2010-07-01,0.119302,0.170705,0.971759,0.178036,0.992530,0.144802,0.963257,0.168393,0.967275,0.174001,0.954548,0.151189,0.946164,0.147586,0.936148,0.161583,0.961471,0.141041,0.955327,0.159708,0.972163
2010-08-01,0.011970,0.068873,1.038686,0.081755,1.073674,0.093390,1.053215,0.079211,1.043894,0.070577,1.021917,0.099724,1.040519,0.109157,1.038335,0.101472,1.059034,0.108624,1.059099,0.105041,1.074280
2010-09-01,0.011153,0.017762,1.057135,0.031031,1.106991,0.016706,1.070810,0.004998,1.049112,0.007266,1.029343,0.003176,1.043824,0.031387,1.070926,0.013638,1.073477,0.030831,1.091752,0.013642,1.088935
2010-10-01,0.151388,0.120963,1.185009,0.100355,1.218083,0.116444,1.195500,0.106894,1.161255,0.115177,1.147899,0.079319,1.126618,0.090873,1.168244,0.074337,1.153276,0.085479,1.185074,0.098546,1.196245
2010-11-01,-0.071891,-0.015713,1.166389,-0.022519,1.190653,0.000487,1.196082,0.000139,1.161416,0.010416,1.159856,0.024510,1.154231,0.004684,1.173717,0.015875,1.171584,0.014581,1.202353,0.000795,1.197196
2010-12-01,-0.002783,-0.021271,1.141579,-0.007901,1.181246,-0.015689,1.177316,-0.013219,1.146064,-0.010599,1.147562,-0.024484,1.125972,-0.028298,1.140503,-0.011317,1.158325,-0.028603,1.167962,-0.036295,1.153744
2011-01-01,-0.016543,-0.010433,1.129669,-0.016613,1.161621,-0.047749,1.121100,-0.039430,1.100874,-0.049834,1.090375,-0.040199,1.080709,-0.069265,1.061506,-0.072021,1.074902,-0.060677,1.097093,-0.078280,1.063429
2011-02-01,0.052998,0.093633,1.235444,0.099398,1.277084,0.104071,1.237774,0.101391,1.212493,0.090830,1.189414,0.096610,1.185116,0.098630,1.166203,0.092763,1.174614,0.108479,1.216105,0.113857,1.184508
