date,benchmark_return,portfolio_return_h1,cumulative_return_h1,portfolio_return_h2,cumulative_return_h2,portfolio_return_h3,cumulative_return_h3,portfolio_return_h6,cumulative_return_h6,portfolio_return_h9,cumulative_return_h9,portfolio_return_h12,cumulative_return_h12
2010-05-01,-0.095883,-0.096732,0.903268,-0.095761,0.904239,-0.096998,0.903002,-0.098540,0.901460,-0.095732,0.904268,-0.095067,0.904933
2010-06-01,-0.075792,-0.081046,0.830062,-0.081694,0.830368,-0.093319,0.818735,-0.094703,0.816089,-0.098081,0.815577,-0.096981,0.817171
2010-07-01,0.119302,0.170705,0.971759,0.171518,0.972791,0.170431,0.958273,0.161701,0.948051,0.160510,0.946485,0.159323,0.947365
2010-08-01,0.011970,0.068873,1.038686,0.074820,1.045576,0.076225,1.031317,0.077274,1.021311,0.076149,1.018559,0.076922,1.020238
2010-09-01,0.011153,0.017762,1.057135,0.017254,1.063616,0.021212,1.053194,0.022289,1.044075,0.019411,1.038331,0.020619,1.041274
2010-10-01,0.151388,0.120963,1.185009,0.117042,1.188104,0.118852,1.178368,0.111359,1.160343,0.103295,1.145585,0.103550,1.149098
2010-11-01,-0.071891,-0.015713,1.166389,-0.020238,1.164058,-0.019628,1.155238,-0.009559,1.149251,-0.010890,1.133109,-0.011349,1.136057
2010-12-01,-0.002783,-0.021271,1.141579,-0.022621,1.137726,-0.020699,1.131326,-0.020179,1.126060,-0.022538,1.107572,-0.022519,1.110474
2011-01-01,-0.016543,-0.010433,1.129669,-0.009377,1.127057,-0.011896,1.117867,-0.019462,1.104144,-0.020828,1.084503,-0.022081,1.085954
2011-02-01,0.052998,0.093633,1.235444,0.088750,1.227083,0.089083,1.217451,0.091291,1.204943,0.094317,1.186790,0.094378,1.188445
2011-03-01,-0.005022,0.010939,1.248958,0.010500,1.239967,0.006498,1.225361,-0.003034,1.201287,-0.004903,1.180972,-0.005217,1.182245
2011-04-01,-0.009484,-0.014487,1.230865,-0.014715,1.221721,-0.017326,1.204131,-0.017534,1.180224,-0.025037,1.151404,-0.021668,1.156629
2011-05-01,-0.059874,-0.069341,1.145515,-0.069328,1.137021,-0.070453,1.119296,-0.071096,1.096314,-0.071017,1.069635,-0.072157,1.073170
2011-06-01,0.014169,0.033145,1.183483,0.029778,1.170879,0.028328,1.151004,0.029303,1.128440,0.031240,1.103051,0.032256,1.107786
2011-07-01,-0.023656,0.010333,1.195711,0.009821,1.182379,0.009961,1.162469,0.003958,1.132906,0.003069,1.106436,0.002453,1.110503
2011-08-01,-0.042159,-0.037947,1.150338,-0.036077,1.139722,-0.035627,1.121055,-0.037191,1.090773,-0.037527,1.064915,-0.037865,1.068454
2011-09-01,-0.093239,-0.103701,1.031046,-0.105550,1.019423,-0.108825,0.999056,-0.110751,0.969968,-0.110329,0.947424,-0.111520,0.949299
2011-10-01,0.044147,0.046124,1.078603,0.045821,1.066134,0.045932,1.044945,0.045378,1.013983,0.044172,0.989273,0.044007,0.991075
2011-11-01,-0.064479,-0.049140,1.025600,-0.047688,1.015293,-0.046086,0.996788,-0.046711,0.966619,-0.043485,0.946255,-0.044969,0.946507
2011-12-01,-0.069712,-0.118520,0.904046,-0.122026,0.891401,-0.123826,0.873360,-0.127187,0.843678,-0.129868,0.823367,-0.129315,0.824109
2012-01-01,0.050526,0.025030,0.926674,0.017807,0.907274,0.011235,0.883172,0.001293,0.844768,-0.001850,0.821844,0.001231,0.825123
2012-02-01,0.068938,0.135066,1.051836,0.127445,1.022901,0.125009,0.993577,0.125575,0.950850,0.124058,0.923800,0.123122,0.926715
2012-03-01,-0.068045,-0.080411,0.967257,-0.082995,0.938006,-0.085864,0.908264,-0.081037,0.873795,-0.079396,0.850454,-0.080470,0.852141
2012-04-01,0.069762,0.092174,1.056413,0.089860,1.022295,0.086211,0.986566,0.076909,0.940998,0.072068,0.911744,0.070329,0.912072
2012-05-01,0.002241,0.023247,1.080971,0.022084,1.044871,0.020892,1.007177,0.020915,0.960679,0.019988,0.929968,0.019710,0.930049
2012-06-01,-0.064752,-0.054042,1.022553,-0.054846,0.987563,-0.061417,0.945319,-0.064093,0.899107,-0.061922,0.872382,-0.058981,0.875194
2012-07-01,-0.052279,-0.091277,0.929218,-0.088015,0.900643,-0.089419,0.860789,-0.087867,0.820105,-0.089416,0.794377,-0.090270,0.796190
2012-08-01,-0.054890,0.010727,0.939186,0.007535,0.907429,0.005812,0.865792,0.011884,0.829851,0.012765,0.804518,0.015055,0.808176
2012-09-01,0.040020,0.016010,0.954223,0.012634,0.918893,0.010436,0.874828,0.004800,0.833835,0.005831,0.809209,0.006738,0.813622
